,,,Limstox360,Freezio_,MonMauvais,GoldMonster338,geek59,Naos0,acdc_zdnl,roselfe,Gaethap,alin,Razor2759,JojoLapero,rathur000,Cronox54,reppssomewhiles,heineswatchbook,uncessynthesize,stagescurfiness,vulvomishitting,ahemsdedicating,atokeholographs,horalrecognised,dillycrabapples,elriclespiques,shivaperiegeses,sykerconcretize,cholicaptivated,sinewrisibility,IntegraleEpice,syncsjasperizes,foliaperseveres,naturalizee,agonykettledrum,stupadisinvests,tennoasbestosis,salutunbreeched
stats,minecraft:crafted,minecraft:raw_copper,9.0,9.0,9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,9.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.0,2.0,9.0,9.0,6.0,9.0,9.0,9.0,3.0,9.0,9.0,4.0
stats,minecraft:crafted,minecraft:raw_copper_block,12.0,12.0,12.0,12.0,12.0,2.0,12.0,11.0,12.0,12.0,12.0,12.0,9.0,6.0,12.0,1.0,12.0,12.0,12.0,12.0,10.0,12.0,12.0,12.0,7.0,3.0,12.0,12.0,8.0,12.0,12.0,12.0,5.0,12.0,12.0,4.0
stats,minecraft:crafted,minecraft:raw_gold,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0
stats,minecraft:crafted,minecraft:raw_gold_block,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,4.0,3.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0
stats,minecraft:crafted,minecraft:raw_iron,8.0,8.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,4.0,8.0,3.0,8.0,8.0,6.0,8.0,8.0,8.0
stats,minecraft:crafted,minecraft:raw_iron_block,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,4.0
stats,minecraft:crafted,minecraft:red_banner,9.0,7.0,9.0,9.0,4.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,8.0,3.0,1.0,5.0,9.0,9.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
stats,minecraft:crafted,minecraft:red_bed,17.0,7.0,17.0,17.0,17.0,1.0,13.0,17.0,17.0,3.0,17.0,8.0,8.0,17.0,2.0,13.0,17.0,17.0,17.0,5.0,8.0,13.0,8.0,17.0,17.0,17.0,17.0,4.0,8.0,17.0,17.0,17.0,17.0,6.0,17.0,13.0
stats,minecraft:crafted,minecraft:red_candle,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
stats,minecraft:crafted,minecraft:red_carpet,18.0,8.0,18.0,18.0,11.0,7.0,6.0,9.0,18.0,18.0,18.0,18.0,13.0,18.0,3.0,1.0,18.0,18.0,18.0,2.0,13.0,4.0,10.0,18.0,18.0,18.0,13.0,18.0,16.0,12.0,18.0,16.0,18.0,5.0,18.0,18.0
stats,minecraft:crafted,minecraft:red_concrete_powder,16.0,11.0,16.0,16.0,10.0,12.0,16.0,16.0,16.0,16.0,16.0,14.0,16.0,16.0,1.0,3.0,16.0,16.0,8.0,7.0,2.0,16.0,16.0,16.0,16.0,4.0,16.0,16.0,6.0,13.0,16.0,15.0,16.0,9.0,16.0,5.0
stats,minecraft:crafted,minecraft:red_dye,29.0,20.0,29.0,28.0,11.0,16.0,29.0,29.0,27.0,13.0,15.0,7.0,25.0,8.0,5.0,6.0,17.0,29.0,12.0,1.0,2.0,24.0,9.0,29.0,29.0,3.0,10.0,18.0,4.0,23.0,26.0,19.0,21.0,22.0,29.0,14.0
stats,minecraft:crafted,minecraft:red_glazed_terracotta,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
stats,minecraft:crafted,minecraft:red_mushroom,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
stats,minecraft:crafted,minecraft:red_nether_brick_slab,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
stats,minecraft:crafted,minecraft:red_nether_brick_stairs,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
stats,minecraft:crafted,minecraft:red_nether_brick_wall,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
stats,minecraft:crafted,minecraft:red_nether_bricks,10.0,7.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,3.0,2.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,4.0,10.0,10.0,10.0,6.0
stats,minecraft:crafted,minecraft:red_sand,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
stats,minecraft:crafted,minecraft:red_sandstone,6.0,11.0,11.0,11.0,4.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,5.0,3.0,11.0,11.0,9.0,7.0,11.0,10.0,11.0,11.0,11.0,11.0,2.0,11.0,11.0,1.0,11.0,11.0,11.0,8.0,11.0,11.0,11.0
stats,minecraft:crafted,minecraft:red_sandstone_slab,6.0,8.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,2.0,8.0,8.0,1.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0
stats,minecraft:crafted,minecraft:red_sandstone_stairs,4.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,1.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0
stats,minecraft:crafted,minecraft:red_sandstone_wall,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0
stats,minecraft:crafted,minecraft:red_shulker_box,11.0,5.0,11.0,11.0,2.0,6.0,11.0,11.0,11.0,4.0,11.0,8.0,11.0,11.0,3.0,8.0,11.0,11.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1.0,11.0,11.0,11.0,11.0,11.0,7.0,11.0
stats,minecraft:crafted,minecraft:red_stained_glass,18.0,13.0,18.0,18.0,11.0,10.0,18.0,18.0,4.0,18.0,4.0,13.0,18.0,2.0,9.0,7.0,18.0,18.0,6.0,1.0,18.0,18.0,18.0,18.0,18.0,3.0,18.0,17.0,8.0,13.0,18.0,18.0,12.0,18.0,18.0,13.0
stats,minecraft:crafted,minecraft:red_stained_glass_pane,10.0,10.0,10.0,10.0,3.0,5.0,7.0,10.0,1.0,10.0,4.0,9.0,10.0,7.0,10.0,10.0,10.0,10.0,6.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
stats,minecraft:crafted,minecraft:red_terracotta,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
stats,minecraft:crafted,minecraft:red_tulip,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
stats,minecraft:crafted,minecraft:red_wool,22.0,22.0,22.0,22.0,22.0,12.0,16.0,22.0,22.0,7.0,4.0,15.0,17.0,6.0,2.0,13.0,22.0,22.0,22.0,1.0,5.0,9.0,3.0,22.0,22.0,22.0,20.0,17.0,8.0,17.0,11.0,10.0,22.0,22.0,14.0,21.0
stats,minecraft:crafted,minecraft:redstone,18.0,23.0,28.0,8.0,22.0,14.0,31.0,30.0,6.0,32.0,33.0,16.0,23.0,5.0,7.0,9.0,12.0,25.0,19.0,3.0,4.0,20.0,13.0,17.0,29.0,2.0,36.0,26.0,1.0,35.0,21.0,10.0,27.0,33.0,11.0,15.0
stats,minecraft:crafted,minecraft:redstone_block,15.0,23.0,24.0,18.0,31.0,9.0,34.0,36.0,3.0,30.0,26.0,21.0,27.0,5.0,12.0,17.0,10.0,6.0,20.0,4.0,14.0,29.0,16.0,22.0,34.0,2.0,32.0,25.0,1.0,32.0,11.0,8.0,19.0,28.0,7.0,13.0
stats,minecraft:crafted,minecraft:redstone_lamp,13.0,19.0,16.0,26.0,26.0,22.0,26.0,26.0,3.0,12.0,21.0,26.0,8.0,4.0,7.0,11.0,9.0,10.0,23.0,6.0,17.0,24.0,2.0,26.0,26.0,1.0,20.0,18.0,5.0,15.0,26.0,26.0,24.0,26.0,26.0,14.0
stats,minecraft:crafted,minecraft:redstone_torch,17.0,5.0,19.0,16.0,30.0,21.0,33.0,33.0,2.0,15.0,26.0,20.0,13.0,21.0,4.0,10.0,6.0,28.0,14.0,1.0,3.0,32.0,9.0,27.0,33.0,7.0,18.0,25.0,11.0,28.0,33.0,12.0,31.0,24.0,23.0,8.0
stats,minecraft:crafted,minecraft:repeater,12.0,11.0,13.0,26.0,18.0,21.0,30.0,30.0,2.0,16.0,20.0,28.0,9.0,15.0,4.0,6.0,10.0,30.0,14.0,1.0,3.0,25.0,30.0,30.0,30.0,7.0,17.0,23.0,5.0,22.0,30.0,26.0,29.0,18.0,23.0,8.0
stats,minecraft:crafted,minecraft:respawn_anchor,16.0,4.0,4.0,16.0,16.0,2.0,4.0,16.0,16.0,1.0,4.0,16.0,16.0,16.0,4.0,2.0,16.0,16.0,16.0,4.0,16.0,4.0,16.0,16.0,16.0,16.0,4.0,16.0,4.0,4.0,16.0,16.0,16.0,4.0,4.0,16.0
stats,minecraft:crafted,minecraft:sand,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
stats,minecraft:crafted,minecraft:sandstone,15.0,13.0,27.0,23.0,2.0,8.0,27.0,27.0,27.0,16.0,24.0,27.0,27.0,27.0,17.0,6.0,18.0,5.0,10.0,9.0,20.0,21.0,27.0,14.0,27.0,4.0,7.0,19.0,1.0,26.0,12.0,11.0,3.0,27.0,25.0,22.0
stats,minecraft:crafted,minecraft:sandstone_slab,11.0,5.0,11.0,11.0,2.0,11.0,3.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,7.0,11.0,11.0,11.0,11.0,11.0,6.0,11.0,11.0,11.0,11.0,1.0,11.0,7.0,11.0,7.0,11.0,7.0,4.0,11.0,11.0,11.0
stats,minecraft:crafted,minecraft:sandstone_stairs,7.0,10.0,13.0,13.0,2.0,13.0,13.0,13.0,13.0,5.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0,3.0,4.0,13.0,8.0,13.0,6.0,8.0,11.0,13.0,13.0,13.0
stats,minecraft:crafted,minecraft:sandstone_wall,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,4.0,3.0,6.0,6.0,6.0
stats,minecraft:crafted,minecraft:scaffolding,27.0,8.0,6.0,27.0,2.0,7.0,4.0,27.0,16.0,23.0,22.0,19.0,27.0,15.0,21.0,14.0,27.0,26.0,20.0,1.0,13.0,27.0,11.0,27.0,27.0,18.0,9.0,24.0,3.0,10.0,27.0,27.0,12.0,17.0,25.0,5.0
stats,minecraft:crafted,minecraft:sea_lantern,6.0,9.0,17.0,15.0,17.0,17.0,7.0,17.0,17.0,17.0,11.0,3.0,17.0,5.0,17.0,16.0,17.0,17.0,10.0,1.0,4.0,14.0,17.0,17.0,17.0,13.0,17.0,17.0,2.0,17.0,12.0,8.0,17.0,17.0,17.0,17.0
stats,minecraft:crafted,minecraft:sea_pickle,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
stats,minecraft:crafted,minecraft:shears,32.0,2.0,16.0,1.0,30.0,23.0,3.0,19.0,12.0,4.0,15.0,14.0,23.0,9.0,8.0,7.0,17.0,29.0,21.0,5.0,6.0,34.0,31.0,35.0,36.0,10.0,25.0,26.0,13.0,28.0,27.0,11.0,21.0,20.0,33.0,18.0
stats,minecraft:crafted,minecraft:shield,5.0,9.0,32.0,25.0,32.0,11.0,7.0,18.0,29.0,15.0,22.0,29.0,21.0,2.0,14.0,1.0,25.0,10.0,32.0,8.0,4.0,12.0,29.0,23.0,16.0,32.0,25.0,23.0,3.0,19.0,13.0,6.0,32.0,25.0,17.0,20.0
stats,minecraft:crafted,minecraft:shulker_box,18.0,8.0,17.0,5.0,26.0,12.0,32.0,35.0,32.0,13.0,30.0,3.0,16.0,6.0,15.0,4.0,9.0,25.0,28.0,1.0,7.0,29.0,22.0,35.0,32.0,11.0,14.0,23.0,2.0,20.0,10.0,20.0,30.0,23.0,19.0,26.0
stats,minecraft:crafted,minecraft:skull_banner_pattern,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0
stats,minecraft:crafted,minecraft:slime_ball,7.0,11.0,17.0,3.0,17.0,9.0,17.0,17.0,4.0,17.0,17.0,17.0,15.0,5.0,10.0,7.0,17.0,17.0,17.0,2.0,6.0,17.0,17.0,17.0,17.0,11.0,17.0,17.0,1.0,17.0,17.0,17.0,17.0,13.0,15.0,14.0
stats,minecraft:crafted,minecraft:slime_block,10.0,3.0,22.0,7.0,22.0,16.0,22.0,22.0,22.0,14.0,22.0,4.0,22.0,7.0,12.0,13.0,22.0,22.0,22.0,2.0,6.0,22.0,22.0,22.0,22.0,11.0,16.0,22.0,1.0,18.0,5.0,7.0,21.0,19.0,15.0,20.0
stats,minecraft:crafted,minecraft:small_dripleaf,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
stats,minecraft:crafted,minecraft:smithing_table,30.0,4.0,14.0,30.0,14.0,3.0,2.0,30.0,30.0,1.0,14.0,4.0,4.0,9.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,4.0,30.0,30.0,14.0,9.0,9.0,14.0,4.0,14.0,14.0,14.0,30.0,9.0,14.0,9.0
stats,minecraft:crafted,minecraft:smoker,20.0,15.0,20.0,7.0,20.0,11.0,5.0,20.0,20.0,4.0,20.0,20.0,15.0,10.0,2.0,20.0,17.0,13.0,17.0,6.0,20.0,1.0,17.0,20.0,20.0,20.0,7.0,20.0,3.0,14.0,12.0,7.0,20.0,20.0,20.0,20.0
stats,minecraft:crafted,minecraft:smooth_quartz,9.0,9.0,9.0,9.0,9.0,4.0,7.0,9.0,2.0,9.0,9.0,5.0,9.0,9.0,9.0,3.0,9.0,9.0,1.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
stats,minecraft:crafted,minecraft:smooth_quartz_slab,7.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,2.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0
stats,minecraft:crafted,minecraft:smooth_quartz_stairs,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,4.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,3.0,7.0,7.0
stats,minecraft:crafted,minecraft:smooth_red_sandstone,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
stats,minecraft:crafted,minecraft:smooth_sandstone,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
stats,minecraft:crafted,minecraft:smooth_sandstone_slab,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0
stats,minecraft:crafted,minecraft:smooth_sandstone_stairs,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0
stats,minecraft:crafted,minecraft:smooth_stone,27.0,22.0,17.0,27.0,3.0,10.0,4.0,27.0,5.0,11.0,27.0,15.0,19.0,27.0,13.0,8.0,23.0,12.0,2.0,27.0,20.0,25.0,18.0,27.0,27.0,9.0,16.0,26.0,1.0,24.0,27.0,7.0,21.0,27.0,14.0,6.0
stats,minecraft:crafted,minecraft:smooth_stone_slab,8.0,23.0,32.0,19.0,3.0,21.0,13.0,27.0,22.0,7.0,34.0,20.0,6.0,11.0,2.0,15.0,9.0,14.0,24.0,4.0,5.0,32.0,30.0,17.0,34.0,1.0,16.0,30.0,10.0,27.0,34.0,12.0,25.0,18.0,29.0,25.0
stats,minecraft:crafted,minecraft:snow,17.0,17.0,9.0,17.0,2.0,17.0,7.0,17.0,17.0,7.0,17.0,17.0,17.0,15.0,17.0,13.0,4.0,17.0,17.0,1.0,3.0,17.0,16.0,17.0,12.0,14.0,11.0,17.0,5.0,17.0,17.0,17.0,17.0,6.0,10.0,17.0
stats,minecraft:crafted,minecraft:snow_block,16.0,13.0,1.0,5.0,11.0,9.0,18.0,32.0,27.0,25.0,20.0,32.0,24.0,8.0,22.0,10.0,12.0,28.0,32.0,3.0,4.0,32.0,29.0,30.0,26.0,6.0,19.0,31.0,2.0,21.0,23.0,7.0,32.0,15.0,17.0,14.0
stats,minecraft:crafted,minecraft:soul_campfire,8.0,5.0,2.0,8.0,8.0,7.0,4.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0
stats,minecraft:crafted,minecraft:soul_lantern,14.0,9.0,4.0,14.0,14.0,14.0,7.0,14.0,14.0,2.0,12.0,14.0,14.0,4.0,3.0,1.0,14.0,14.0,8.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,11.0,14.0,14.0,6.0
stats,minecraft:crafted,minecraft:soul_torch,13.0,9.0,6.0,13.0,13.0,13.0,4.0,13.0,13.0,3.0,11.0,13.0,13.0,6.0,5.0,1.0,13.0,13.0,8.0,10.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,2.0
stats,minecraft:crafted,minecraft:spectral_arrow,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0
stats,minecraft:crafted,minecraft:sponge,18.0,8.0,6.0,18.0,18.0,18.0,2.0,18.0,18.0,18.0,18.0,4.0,18.0,18.0,12.0,14.0,18.0,10.0,15.0,18.0,11.0,18.0,3.0,17.0,18.0,5.0,13.0,18.0,1.0,18.0,9.0,18.0,18.0,18.0,16.0,7.0
stats,minecraft:crafted,minecraft:spruce_boat,20.0,3.0,20.0,26.0,8.0,9.0,10.0,26.0,26.0,1.0,26.0,20.0,11.0,16.0,16.0,5.0,26.0,20.0,12.0,7.0,12.0,26.0,16.0,12.0,26.0,5.0,26.0,26.0,2.0,12.0,26.0,20.0,16.0,26.0,20.0,4.0
stats,minecraft:crafted,minecraft:spruce_button,21.0,12.0,21.0,21.0,2.0,12.0,10.0,21.0,21.0,5.0,21.0,18.0,12.0,21.0,7.0,3.0,11.0,21.0,6.0,8.0,16.0,21.0,15.0,21.0,21.0,18.0,4.0,18.0,1.0,21.0,21.0,16.0,21.0,9.0,21.0,21.0
stats,minecraft:crafted,minecraft:spruce_door,26.0,12.0,10.0,26.0,3.0,21.0,14.0,32.0,21.0,2.0,32.0,26.0,6.0,5.0,15.0,8.0,9.0,31.0,12.0,10.0,4.0,26.0,18.0,24.0,18.0,17.0,7.0,32.0,1.0,26.0,18.0,24.0,32.0,15.0,32.0,21.0
stats,minecraft:crafted,minecraft:spruce_fence,16.0,23.0,15.0,14.0,7.0,17.0,10.0,31.0,23.0,1.0,31.0,29.0,3.0,11.0,13.0,6.0,18.0,31.0,8.0,9.0,20.0,25.0,4.0,26.0,30.0,21.0,12.0,22.0,2.0,31.0,31.0,5.0,28.0,19.0,31.0,27.0
stats,minecraft:crafted,minecraft:spruce_fence_gate,15.0,9.0,2.0,27.0,6.0,21.0,19.0,27.0,27.0,3.0,23.0,11.0,1.0,25.0,25.0,8.0,27.0,27.0,7.0,14.0,12.0,27.0,9.0,23.0,13.0,21.0,4.0,20.0,16.0,27.0,27.0,5.0,17.0,18.0,27.0,27.0
stats,minecraft:crafted,minecraft:spruce_planks,28.0,4.0,14.0,19.0,8.0,12.0,13.0,34.0,25.0,11.0,29.0,26.0,6.0,5.0,17.0,10.0,16.0,34.0,7.0,2.0,24.0,3.0,15.0,34.0,23.0,22.0,18.0,30.0,1.0,32.0,20.0,9.0,33.0,21.0,31.0,27.0
stats,minecraft:crafted,minecraft:spruce_pressure_plate,14.0,14.0,14.0,14.0,2.0,14.0,6.0,14.0,14.0,8.0,14.0,14.0,3.0,14.0,8.0,11.0,11.0,14.0,1.0,14.0,11.0,14.0,6.0,14.0,14.0,14.0,14.0,14.0,8.0,14.0,14.0,5.0,14.0,4.0,14.0,14.0
stats,minecraft:crafted,minecraft:spruce_sapling,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
stats,minecraft:crafted,minecraft:spruce_sign,24.0,5.0,24.0,24.0,1.0,11.0,18.0,24.0,24.0,3.0,24.0,12.0,17.0,19.0,9.0,2.0,12.0,24.0,8.0,7.0,15.0,4.0,9.0,24.0,24.0,6.0,20.0,24.0,16.0,24.0,22.0,24.0,24.0,12.0,22.0,21.0
stats,minecraft:crafted,minecraft:spruce_slab,25.0,22.0,10.0,19.0,1.0,4.0,16.0,32.0,23.0,15.0,30.0,26.0,2.0,3.0,8.0,11.0,13.0,32.0,6.0,21.0,18.0,12.0,20.0,32.0,17.0,9.0,7.0,31.0,5.0,29.0,32.0,27.0,24.0,14.0,28.0,32.0
stats,minecraft:crafted,minecraft:spruce_stairs,10.0,24.0,26.0,6.0,3.0,31.0,9.0,31.0,28.0,5.0,30.0,23.0,2.0,4.0,15.0,11.0,17.0,22.0,8.0,21.0,13.0,16.0,20.0,25.0,18.0,14.0,12.0,31.0,1.0,31.0,29.0,7.0,31.0,19.0,26.0,31.0
stats,minecraft:crafted,minecraft:spruce_trapdoor,21.0,6.0,11.0,17.0,1.0,23.0,18.0,29.0,29.0,3.0,29.0,20.0,2.0,10.0,13.0,5.0,7.0,29.0,4.0,12.0,24.0,8.0,14.0,29.0,16.0,19.0,9.0,28.0,15.0,27.0,26.0,25.0,29.0,22.0,29.0,29.0
stats,minecraft:crafted,minecraft:spruce_wood,21.0,21.0,21.0,5.0,19.0,15.0,3.0,19.0,21.0,9.0,21.0,10.0,18.0,13.0,21.0,6.0,21.0,21.0,2.0,4.0,11.0,7.0,21.0,21.0,14.0,12.0,1.0,21.0,16.0,21.0,21.0,8.0,17.0,21.0,21.0,21.0
